-,sp,_
3720,Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],<hp70>,,attack:684,force_strike:312,skill_1:889,skill_2:381,skill_3:0,team_buff:0,d_ss:40,d_atk:942,bleed:235,d_skl:234
3501,_c_Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],!<hp70>,,attack:644,force_strike:294,skill_1:837,skill_2:359,skill_3:0,team_buff:0,d_ss:37,d_atk:887,bleed:221,d_skl:220
-,sp,k
4092,Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],<hp70>,,attack:752,force_strike:344,skill_1:978,skill_2:420,skill_3:0,team_buff:0,d_ss:44,d_atk:1037,bleed:258,d_skl:257
3852,_c_Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],!<hp70>,,attack:708,force_strike:323,skill_1:920,skill_2:395,skill_3:0,team_buff:0,d_ss:41,d_atk:976,bleed:243,d_skl:242
-,sp,r
3981,Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],<hp70>,,attack:684,force_strike:312,skill_1:1022,skill_2:439,skill_3:0,team_buff:0,d_ss:40,d_atk:942,bleed:270,d_skl:269
3747,_c_Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],!<hp70>,,attack:644,force_strike:294,skill_1:962,skill_2:413,skill_3:0,team_buff:0,d_ss:37,d_atk:887,bleed:254,d_skl:253
-,sp,kr
4380,Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],<hp70>,,attack:752,force_strike:344,skill_1:1125,skill_2:483,skill_3:0,team_buff:0,d_ss:44,d_atk:1037,bleed:297,d_skl:296
4122,_c_Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],!<hp70>,,attack:708,force_strike:323,skill_1:1058,skill_2:454,skill_3:0,team_buff:0,d_ss:41,d_atk:976,bleed:279,d_skl:279
-,sp,d
3952,Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],<hp70>,,attack:730,force_strike:333,skill_1:948,skill_2:407,skill_3:0,team_buff:0,d_ss:42,d_atk:995,bleed:248,d_skl:247
3720,_c_Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],!<hp70>,,attack:687,force_strike:314,skill_1:892,skill_2:383,skill_3:0,team_buff:0,d_ss:39,d_atk:936,bleed:233,d_skl:232
-,sp,kd
4348,Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],<hp70>,,attack:803,force_strike:367,skill_1:1043,skill_2:448,skill_3:0,team_buff:0,d_ss:46,d_atk:1094,bleed:272,d_skl:272
4092,_c_Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],!<hp70>,,attack:755,force_strike:345,skill_1:982,skill_2:421,skill_3:0,team_buff:0,d_ss:43,d_atk:1030,bleed:256,d_skl:256
-,sp,b
3721,Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],<hp70>,,attack:718,force_strike:221,skill_1:889,skill_2:438,skill_3:0,team_buff:0,d_ss:40,d_atk:943,bleed:235,d_skl:234
3502,_c_Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],!<hp70>,,attack:676,force_strike:208,skill_1:837,skill_2:412,skill_3:0,team_buff:0,d_ss:37,d_atk:887,bleed:221,d_skl:220
-,sp,kb
4093,Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],<hp70>,,attack:790,force_strike:244,skill_1:978,skill_2:481,skill_3:0,team_buff:0,d_ss:44,d_atk:1037,bleed:258,d_skl:257
3852,_c_Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],!<hp70>,,attack:743,force_strike:229,skill_1:921,skill_2:453,skill_3:0,team_buff:0,d_ss:41,d_atk:976,bleed:243,d_skl:242
-,sp,rd
4230,Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],<hp70>,,attack:730,force_strike:333,skill_1:1091,skill_2:468,skill_3:0,team_buff:0,d_ss:42,d_atk:995,bleed:285,d_skl:284
3981,_c_Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],!<hp70>,,attack:687,force_strike:314,skill_1:1026,skill_2:440,skill_3:0,team_buff:0,d_ss:39,d_atk:936,bleed:268,d_skl:267
-,sp,krd
4653,Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],<hp70>,,attack:803,force_strike:367,skill_1:1200,skill_2:515,skill_3:0,team_buff:0,d_ss:46,d_atk:1094,bleed:313,d_skl:312
4379,_c_Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],!<hp70>,,attack:755,force_strike:345,skill_1:1129,skill_2:484,skill_3:0,team_buff:0,d_ss:43,d_atk:1030,bleed:295,d_skl:294
-,sp,rb
3990,Audric,4*,shadow,sword,2943,[The_Shining_Overlord+Beautiful_Nothingness][Marishiten],<hp70>,,attack:718,force_strike:221,skill_1:1023,skill_2:503,skill_3:0,team_buff:0,d_ss:40,d_atk:943,bleed:270,d_skl:269
